Send Time,Send message,Received Time,Received message
49:44.645,569:Hi,49:44.706,569:Hi
49:44.850,570:Hi,49:44.916,570:Hi
49:45.054,571:Hi,49:45.111,571:Hi
49:45.258,572:Hi,49:45.338,572:Hi
49:45.459,573:Hi,49:45.521,573:Hi
49:45.661,574:Hi,49:45.718,574:Hi
49:45.866,575:Hi,49:45.923,575:Hi
49:46.072,576:Hi,49:46.128,576:Hi
49:46.272,577:Hi,49:46.328,577:Hi
49:46.475,578:Hi,49:46.532,578:Hi
49:46.678,579:Hi,49:46.738,579:Hi
49:46.879,580:Hi,49:46.938,580:Hi
49:47.080,581:Hi,49:47.138,581:Hi
49:47.284,582:Hi,49:47.340,582:Hi
49:47.494,583:Hi,49:47.550,583:Hi
49:47.699,584:Hi,49:47.755,584:Hi
49:47.902,585:Hi,49:47.960,585:Hi
49:48.104,586:Hi,49:48.166,586:Hi
49:48.308,587:Hi,49:48.367,587:Hi
49:48.510,588:Hi,49:48.570,588:Hi
49:48.712,589:Hi,49:48.771,589:Hi
49:48.916,590:Hi,49:48.973,590:Hi
49:49.117,591:Hi,49:49.173,591:Hi
49:49.319,592:Hi,49:49.373,592:Hi
49:49.525,593:Hi,49:49.579,593:Hi
49:49.728,594:Hi,49:49.786,594:Hi
49:49.933,595:Hi,49:49.997,595:Hi
49:50.137,596:Hi,49:50.198,596:Hi
49:50.338,597:Hi,49:50.398,597:Hi
49:50.543,598:Hi,49:50.597,598:Hi
49:50.747,599:Hi,49:50.811,599:Hi
49:50.951,600:Hi,49:51.012,600:Hi
49:51.156,601:Hi,49:51.215,601:Hi
49:51.356,602:Hi,49:51.417,602:Hi
49:51.559,603:Hi,49:51.624,603:Hi
49:51.763,604:Hi,49:51.818,604:Hi
49:51.964,605:Hi,49:52.023,605:Hi
49:52.167,606:Hi,49:52.227,606:Hi
49:52.370,607:Hi,49:52.434,607:Hi
49:52.570,608:Hi,49:52.630,608:Hi
49:52.772,609:Hi,49:52.833,609:Hi
49:52.977,610:Hi,49:53.037,610:Hi
49:53.180,611:Hi,49:53.237,611:Hi
49:53.381,612:Hi,49:53.444,612:Hi
49:53.586,613:Hi,49:53.639,613:Hi
49:53.786,614:Hi,49:53.855,614:Hi
49:53.987,615:Hi,49:54.046,615:Hi
49:54.193,616:Hi,49:54.258,616:Hi
49:54.397,617:Hi,49:54.453,617:Hi
49:54.601,618:Hi,49:54.659,618:Hi
49:54.803,619:Hi,49:54.860,619:Hi
49:55.010,620:Hi,49:55.066,620:Hi
49:55.211,621:Hi,49:55.264,621:Hi
49:55.412,622:Hi,49:55.470,622:Hi
49:55.612,623:Hi,49:55.667,623:Hi
49:55.817,624:Hi,49:55.874,624:Hi
49:56.021,625:Hi,49:56.077,625:Hi
49:56.226,626:Hi,49:56.282,626:Hi
49:56.429,627:Hi,49:56.533,627:Hi
49:56.631,628:Hi,49:56.690,628:Hi
49:56.833,629:Hi,49:56.892,629:Hi
49:57.035,630:Hi,49:57.089,630:Hi
49:57.235,631:Hi,49:57.295,631:Hi
49:57.441,632:Hi,49:57.500,632:Hi
49:57.645,633:Hi,49:57.707,633:Hi
49:57.850,634:Hi,49:57.908,634:Hi
49:58.056,635:Hi,49:58.127,635:Hi
49:58.257,636:Hi,49:58.316,636:Hi
49:58.459,637:Hi,49:58.517,637:Hi
49:58.664,638:Hi,49:58.722,638:Hi
49:58.865,639:Hi,49:58.927,639:Hi
49:59.066,640:Hi,49:59.123,640:Hi
49:59.272,641:Hi,49:59.334,641:Hi
49:59.475,642:Hi,49:59.536,642:Hi
49:59.679,643:Hi,49:59.816,643:Hi
49:59.881,644:Hi,50:00.006,644:Hi
50:00.081,645:Hi,50:00.287,645:Hi
50:00.287,646:Hi,50:00.343,646:Hi
50:00.489,647:Hi,50:00.626,647:Hi
50:00.690,648:Hi,50:00.829,648:Hi
50:00.896,649:Hi,50:01.033,649:Hi
50:01.100,650:Hi,50:01.243,650:Hi
50:01.301,651:Hi,50:01.429,651:Hi
50:01.504,652:Hi,50:01.649,652:Hi
50:01.709,653:Hi,50:01.858,653:Hi
50:01.908,654:Hi,50:02.062,654:Hi
50:02.112,655:Hi,50:02.269,655:Hi
50:02.313,656:Hi,50:02.469,656:Hi
50:02.519,657:Hi,50:02.677,657:Hi
50:02.722,658:Hi,50:02.879,658:Hi
50:02.928,659:Hi,50:03.080,659:Hi
50:03.133,660:Hi,50:03.290,660:Hi
50:03.336,661:Hi,50:03.498,661:Hi
50:03.540,662:Hi,50:03.695,662:Hi
50:03.744,663:Hi,50:03.900,663:Hi
50:03.946,664:Hi,50:04.114,664:Hi
50:04.148,665:Hi,50:04.318,665:Hi
50:04.349,666:Hi,50:04.516,666:Hi
50:04.552,667:Hi,50:04.724,667:Hi
50:04.756,668:Hi,50:04.926,668:Hi
50:04.957,669:Hi,50:05.023,669:Hi
50:05.158,670:Hi,50:05.227,670:Hi
50:05.364,671:Hi,50:05.419,671:Hi
50:05.568,672:Hi,50:05.632,672:Hi
50:05.772,673:Hi,50:05.832,673:Hi
50:05.978,674:Hi,50:06.039,674:Hi
50:06.180,675:Hi,50:06.243,675:Hi
50:06.381,676:Hi,50:06.445,676:Hi
50:06.586,677:Hi,50:06.644,677:Hi
50:06.791,678:Hi,50:06.847,678:Hi
50:06.993,679:Hi,50:07.056,679:Hi
50:07.195,680:Hi,50:07.253,680:Hi
50:07.395,681:Hi,50:07.460,681:Hi
50:07.596,682:Hi,50:07.674,682:Hi
50:07.798,683:Hi,50:07.859,683:Hi
50:07.999,684:Hi,50:08.056,684:Hi
50:08.202,685:Hi,50:08.267,685:Hi
50:08.406,686:Hi,50:08.465,686:Hi
50:08.608,687:Hi,50:08.664,687:Hi
50:08.808,688:Hi,50:08.864,688:Hi
50:09.010,689:Hi,50:09.079,689:Hi
50:09.217,690:Hi,50:09.276,690:Hi
50:09.420,691:Hi,50:09.478,691:Hi
50:09.622,692:Hi,50:09.684,692:Hi
50:09.822,693:Hi,50:09.878,693:Hi
50:10.026,694:Hi,50:10.083,694:Hi
50:10.228,695:Hi,50:10.286,695:Hi
50:10.431,696:Hi,50:10.499,696:Hi
50:10.632,697:Hi,50:10.696,697:Hi
50:10.834,698:Hi,50:10.894,698:Hi
50:11.040,699:Hi,50:11.097,699:Hi
50:11.243,700:Hi,50:11.303,700:Hi
50:11.446,701:Hi,50:11.499,701:Hi
50:11.650,702:Hi,50:11.706,702:Hi
50:11.854,703:Hi,50:11.913,703:Hi
50:12.058,704:Hi,50:12.123,704:Hi
50:12.263,705:Hi,50:12.322,705:Hi
50:12.463,706:Hi,50:12.525,706:Hi
50:12.667,707:Hi,50:12.722,707:Hi
50:12.870,708:Hi,50:12.927,708:Hi
50:13.075,709:Hi,50:13.132,709:Hi
50:13.275,710:Hi,50:13.333,710:Hi
50:13.477,711:Hi,50:13.531,711:Hi
50:13.682,712:Hi,50:13.741,712:Hi
50:13.887,713:Hi,50:13.944,713:Hi
50:14.091,714:Hi,50:14.148,714:Hi
50:14.292,715:Hi,50:14.349,715:Hi
50:14.497,716:Hi,50:14.553,716:Hi
50:14.698,717:Hi,50:14.765,717:Hi
50:14.902,718:Hi,50:14.961,718:Hi
50:15.104,719:Hi,50:15.159,719:Hi
50:15.305,720:Hi,50:15.366,720:Hi
50:15.508,721:Hi,50:15.575,721:Hi
50:15.710,722:Hi,50:15.772,722:Hi
50:15.915,723:Hi,50:15.968,723:Hi
50:16.114,724:Hi,50:16.175,724:Hi
50:16.322,725:Hi,50:16.390,725:Hi
50:16.528,726:Hi,50:16.592,726:Hi
50:16.734,727:Hi,50:16.794,727:Hi
50:16.933,728:Hi,50:16.992,728:Hi
50:17.139,729:Hi,50:17.199,729:Hi
50:17.340,730:Hi,50:17.409,730:Hi
50:17.541,731:Hi,50:17.603,731:Hi
50:17.746,732:Hi,50:17.803,732:Hi
50:17.948,733:Hi,50:18.007,733:Hi
50:18.155,734:Hi,50:18.210,734:Hi
50:18.357,735:Hi,50:18.415,735:Hi
50:18.558,736:Hi,50:18.614,736:Hi
50:18.760,737:Hi,50:18.879,737:Hi
50:18.963,738:Hi,50:19.019,738:Hi
50:19.167,739:Hi,50:19.233,739:Hi
50:19.373,740:Hi,50:19.428,740:Hi
50:19.578,741:Hi,50:19.637,741:Hi
50:19.782,742:Hi,50:19.839,742:Hi
50:19.987,743:Hi,50:20.046,743:Hi
50:20.187,744:Hi,50:20.242,744:Hi
50:20.391,745:Hi,50:20.450,745:Hi
50:20.593,746:Hi,50:20.650,746:Hi
50:20.795,747:Hi,50:20.853,747:Hi
50:20.996,748:Hi,50:21.059,748:Hi
50:21.201,749:Hi,50:21.275,749:Hi
50:21.405,750:Hi,50:21.466,750:Hi
50:21.607,751:Hi,50:21.665,751:Hi
50:21.808,752:Hi,50:21.863,752:Hi
50:22.010,753:Hi,50:22.094,753:Hi
50:22.213,754:Hi,50:22.270,754:Hi
50:22.414,755:Hi,50:22.472,755:Hi
50:22.615,756:Hi,50:22.672,756:Hi
50:22.818,757:Hi,50:22.875,757:Hi
50:23.023,758:Hi,50:23.100,758:Hi
50:23.226,759:Hi,50:23.281,759:Hi
50:23.430,760:Hi,50:23.489,760:Hi
50:23.632,761:Hi,50:23.685,761:Hi
50:23.835,762:Hi,50:23.898,762:Hi
50:24.039,763:Hi,50:24.097,763:Hi
50:24.240,764:Hi,50:24.302,764:Hi
50:24.444,765:Hi,50:24.508,765:Hi
50:24.646,766:Hi,50:24.700,766:Hi
50:24.851,767:Hi,50:24.908,767:Hi
50:25.056,768:Hi,50:25.112,768:Hi
50:25.259,769:Hi,50:25.313,769:Hi
50:25.461,770:Hi,50:25.522,770:Hi
50:25.666,771:Hi,50:25.723,771:Hi
50:25.870,772:Hi,50:25.928,772:Hi
50:26.072,773:Hi,50:26.138,773:Hi
50:26.276,774:Hi,50:26.335,774:Hi
50:26.478,775:Hi,50:26.536,775:Hi
50:26.681,776:Hi,50:26.742,776:Hi
50:26.885,777:Hi,50:26.943,777:Hi
50:27.089,778:Hi,50:27.142,778:Hi
50:27.292,779:Hi,50:27.365,779:Hi
50:27.496,780:Hi,50:27.565,780:Hi
50:27.699,781:Hi,50:27.764,781:Hi
50:27.901,782:Hi,50:27.958,782:Hi
50:28.105,783:Hi,50:28.164,783:Hi
50:28.305,784:Hi,50:28.361,784:Hi
50:28.510,785:Hi,50:28.575,785:Hi
50:28.713,786:Hi,50:28.770,786:Hi
50:28.918,787:Hi,50:28.978,787:Hi
50:29.120,788:Hi,50:29.177,788:Hi
50:29.322,789:Hi,50:29.382,789:Hi
50:29.527,790:Hi,50:29.584,790:Hi
50:29.729,791:Hi,50:29.789,791:Hi
50:29.932,792:Hi,50:29.991,792:Hi
50:30.134,793:Hi,50:30.195,793:Hi
50:30.333,794:Hi,50:30.391,794:Hi
50:30.537,795:Hi,50:30.597,795:Hi
50:30.738,796:Hi,50:30.798,796:Hi
50:30.944,797:Hi,50:31.000,797:Hi
50:31.147,798:Hi,50:31.208,798:Hi
50:31.348,799:Hi,50:31.406,799:Hi
50:31.551,800:Hi,50:31.611,800:Hi
50:31.757,801:Hi,50:31.814,801:Hi
50:31.957,802:Hi,50:32.019,802:Hi
50:32.160,803:Hi,50:32.219,803:Hi
50:32.361,804:Hi,50:32.420,804:Hi
50:32.564,805:Hi,50:32.623,805:Hi
50:32.764,806:Hi,50:32.821,806:Hi
50:32.965,807:Hi,50:33.021,807:Hi
50:33.166,808:Hi,50:33.232,808:Hi
50:33.368,809:Hi,50:33.426,809:Hi
50:33.570,810:Hi,50:33.627,810:Hi
50:33.775,811:Hi,50:33.835,811:Hi
50:33.980,812:Hi,50:34.037,812:Hi
50:34.182,813:Hi,50:34.242,813:Hi
50:34.385,814:Hi,50:34.448,814:Hi
50:34.590,815:Hi,50:34.650,815:Hi
50:34.793,816:Hi,50:34.849,816:Hi
50:34.993,817:Hi,50:35.058,817:Hi
50:35.198,818:Hi,50:35.256,818:Hi
50:35.399,819:Hi,50:35.454,819:Hi
50:35.605,820:Hi,50:35.661,820:Hi
50:35.813,821:Hi,50:35.867,821:Hi
50:36.015,822:Hi,50:36.070,822:Hi
50:36.217,823:Hi,50:36.276,823:Hi
50:36.420,824:Hi,50:36.479,824:Hi
50:36.625,825:Hi,50:36.682,825:Hi
50:36.826,826:Hi,50:36.887,826:Hi
50:37.028,827:Hi,50:37.091,827:Hi
50:37.230,828:Hi,50:37.288,828:Hi
50:37.435,829:Hi,50:37.490,829:Hi
50:37.639,830:Hi,50:37.701,830:Hi
50:37.843,831:Hi,50:37.905,831:Hi
50:38.045,832:Hi,50:38.104,832:Hi
