end,1705467292.748849,14.67
start,1705467293.183094,14.74
end,1705467292.748849,14.67
start,1705467294.198497,15.08
end,1705467294.6817787,15.08
start,1705467295.164841,15.27
end,1705467295.7988873,15.27
start,1705467296.1821306,15.15
end,1705467296.858377,15.15
start,1705467298.1805265,15.27
end,1705467296.858377,15.15
start,1705467299.1806955,15.25
end,1705467298.714286,15.27
start,1705467300.2036192,15.23
end,1705467299.697248,15.25
start,1705467301.1798687,15.2
end,1705467300.821883,15.23
start,1705467302.1798205,15.08
end,1705467301.7467277,15.2
start,1705467303.2023144,15.01
end,1705467302.796615,15.08
start,1705467304.179177,14.98
end,1705467304.7111256,14.98
start,1705467305.1804314,14.83
end,1705467305.766339,14.83
start,1705467306.1953113,14.65
end,1705467305.766339,14.83
start,1705467307.1788173,14.68
end,1705467307.678489,14.68
start,1705467308.1779528,14.7
end,1705467308.6946313,14.7
start,1705467309.2033193,14.61
end,1705467309.7280273,14.61
start,1705467310.1785502,14.43
end,1705467310.644523,14.43
start,1705467312.2356212,14.24
end,1705467311.660778,14.39
start,1705467313.1777122,14.18
end,1705467312.944098,14.24
start,1705467314.19305,14.15
end,1705467313.8105779,14.18
start,1705467315.2031882,13.93
end,1705467314.7620907,14.15
start,1705467316.176498,14.34
end,1705467315.7764666,13.93
start,1705467317.1926372,14.76
end,1705467316.6768513,14.34
start,1705467318.1923795,14.92
end,1705467318.7422533,14.92
start,1705467319.1781762,15.09
end,1705467319.6757007,15.09
start,1705467320.1918457,15.1
end,1705467320.6753485,15.1
start,1705467321.2417648,14.98
end,1705467321.8081481,14.98
start,1705467322.1775203,15.15
end,1705467322.7416031,15.15
start,1705467323.1912475,15.53
end,1705467323.7579658,15.53
start,1705467325.1742647,19.32
end,1705467324.6745834,17.61
start,1705467326.1908998,21.01
end,1705467325.8067245,19.32
start,1705467327.1905732,22.15
end,1705467326.7242362,21.01
start,1705467328.1735854,22.89
end,1705467327.7404585,22.15
start,1705467329.2235339,23.52
end,1705467328.7724524,22.89
start,1705467330.191322,23.79
end,1705467330.0068738,23.52
start,1705467331.173055,23.85
end,1705467330.7233887,23.79
start,1705467332.2225084,23.94
end,1705467331.7562358,23.85
start,1705467333.2054749,24.07
end,1705467333.7053614,24.07
start,1705467334.2058003,24.21
end,1705467334.7055502,24.21
start,1705467335.2218206,24.13
end,1705467335.8414843,24.13
start,1705467337.1711175,24.02
end,1705467336.821966,24.05
start,1705467338.1912422,24.05
end,1705467337.688288,24.02
start,1705467339.204322,24.06
end,1705467338.704509,24.05
start,1705467340.2158506,24.29
end,1705467339.987712,24.06
start,1705467341.1874554,25.12
end,1705467340.7541487,24.29
start,1705467342.2037663,24.84
end,1705467341.6704307,25.12
start,1705467343.2033474,24.5
end,1705467342.6865797,24.84
start,1705467344.186225,24.16
end,1705467343.7196722,24.5
start,1705467345.2029314,23.82
end,1705467345.7695932,23.82
start,1705467346.2027135,23.5
end,1705467346.6856554,23.5
start,1705467347.1858885,23.24
end,1705467347.7191598,23.24
start,1705467348.2044423,22.91
end,1705467348.9517844,22.91
start,1705467350.1849346,22.26
end,1705467349.6684768,22.57
start,1705467351.2012851,21.96
end,1705467350.7846322,22.26
start,1705467352.1676824,21.62
end,1705467351.7179062,21.96
start,1705467353.1913624,21.29
end,1705467352.7407131,21.62
start,1705467354.2036352,20.95
end,1705467353.750282,21.29
start,1705467355.1811397,20.63
end,1705467354.69211,20.95
start,1705467356.188038,20.31
end,1705467356.7315154,20.31
start,1705467357.2048748,19.96
end,1705467357.7580693,19.96
start,1705467358.1732273,19.64
end,1705467358.6734738,19.64
start,1705467359.1828654,19.31
end,1705467359.6991515,19.31
start,1705467360.1989532,18.99
end,1705467360.7230442,18.99
start,1705467362.1817,18.35
end,1705467361.6346006,18.66
start,1705467363.1981618,18.02
end,1705467362.7652552,18.35
start,1705467364.1652322,17.69
end,1705467363.6816223,18.02
start,1705467365.1821415,17.37
end,1705467364.7151477,17.69
start,1705467366.1977344,17.06
end,1705467365.7314072,17.37
start,1705467367.178911,16.73
end,1705467367.680984,16.73
start,1705467368.1899052,16.41
end,1705467368.6978111,16.41
start,1705467369.2056746,16.09
end,1705467369.7304494,16.09
start,1705467370.1800616,15.78
end,1705467370.6552615,15.78
start,1705467371.180135,15.47
end,1705467371.8798034,15.47
start,1705467373.179617,14.82
end,1705467372.696482,15.14
start,1705467374.1792848,14.52
end,1705467373.8295355,14.82
start,1705467375.1676958,14.2
end,1705467374.746725,14.52
start,1705467376.178564,13.88
end,1705467375.6618962,14.2
start,1705467377.228875,13.57
