end,1706261939.6242948,66
start,1706261941.1780171,68
end,1706261940.7463555,67
start,1706261942.2266216,69
end,1706261941.5803974,68
start,1706261943.249957,70
end,1706261943.6502163,70
start,1706261944.191423,71
end,1706261944.5825994,71
start,1706261945.1998353,72
end,1706261945.6842492,72
start,1706261946.252882,73
end,1706261946.6535556,73
start,1706261947.1850004,74
end,1706261947.6298344,74
start,1706261948.1907794,75
end,1706261948.5914886,75
start,1706261949.2394495,76
end,1706261949.640292,76
start,1706261950.1784108,77
end,1706261950.6872995,77
start,1706261951.1879807,78
end,1706261951.5800014,78
start,1706261953.1821892,80
end,1706261952.7046292,79
start,1706261954.1982164,81
end,1706261953.5824325,80
start,1706261955.2454858,82
end,1706261954.8875165,81
start,1706261956.1901193,83
end,1706261955.6415892,82
start,1706261957.1968744,84
end,1706261956.5855887,83
start,1706261958.246299,85
end,1706261958.6442795,85
start,1706261959.1833978,86
end,1706261959.5844576,86
start,1706261960.2013829,87
end,1706261960.7239246,87
start,1706261961.2401857,88
end,1706261961.642244,88
start,1706261962.1916933,89
end,1706261962.6738238,89
start,1706261963.2036955,90
end,1706261963.5954313,90
start,1706261965.1908405,92
end,1706261964.9326038,91
start,1706261966.194564,93
end,1706261965.6502743,92
start,1706261967.2515314,94
end,1706261966.8755016,93
start,1706261968.1836758,95
end,1706261968.5686853,95
start,1706261969.188059,96
end,1706261969.6386578,96
start,1706261970.24031,97
end,1706261970.641266,97
start,1706261971.1817493,98
end,1706261970.641266,97
start,1706261972.1900523,99
end,1706261972.7090535,99
start,1706261973.244881,100
end,1706261973.646219,100
start,1706261974.186142,101
end,1706261974.6436465,101
start,1706261975.2019398,102
end,1706261975.5885105,102
start,1706261977.1898198,104
end,1706261976.9744992,103
start,1706261978.1914468,105
end,1706261977.6243155,104
start,1706261979.2118435,106
end,1706261978.5940812,105
start,1706261980.19072,107
end,1706261980.59176,107
start,1706261981.2395852,108
end,1706261980.59176,107
start,1706261982.2117624,109
end,1706261982.6515946,109
start,1706261983.1894004,110
end,1706261983.5732746,110
start,1706261984.2327418,111
end,1706261984.7750702,111
start,1706261985.2147076,112
end,1706261985.5961037,112
start,1706261986.1809034,113
end,1706261986.5977588,113
start,1706261987.2404313,114
end,1706261987.6304884,114
start,1706261989.1875644,116
end,1706261988.6424105,115
start,1706261990.1891198,117
end,1706261989.703626,116
start,1706261991.2105114,118
end,1706261990.589098,117
start,1706261992.2155507,119
end,1706261991.595264,118
start,1706261993.2005641,120
end,1706261993.6007862,120
start,1706261994.2092519,121
end,1706261994.7102163,121
start,1706261995.2287943,122
end,1706261995.62915,122
start,1706261996.2337162,123
end,1706261996.680334,123
start,1706261997.2145972,124
end,1706261997.6030793,124
start,1706261998.2275379,125
end,1706261998.7200944,125
start,1706261999.18949,126
end,1706261999.649086,126
start,1706262001.1832302,128
end,1706262000.6520236,127
start,1706262002.2021732,129
end,1706262001.7531524,128
start,1706262003.207653,130
end,1706262002.616681,129
start,1706262004.1913195,131
end,1706262002.616681,129
start,1706262005.189183,132
end,1706262002.616681,129
start,1706262006.215112,133
end,1706262006.6386817,133
start,1706262007.1911778,134
end,1706262007.700604,134
start,1706262008.2031565,135
end,1706262008.6717684,135
start,1706262009.2501898,136
end,1706262008.6717684,135
start,1706262010.1910193,137
end,1706262010.708996,137
start,1706262011.1938767,138
end,1706262011.5786583,138
start,1706262012.2405863,139
end,1706262012.780006,139
start,1706262014.1970723,141
end,1706262013.575087,140
start,1706262015.281916,142
end,1706262014.6599782,141
start,1706262016.188791,143
